order_id,order_date,business_unit,destination_country,supplier,product_id,product_name,product_category,quantity_ordered,quantity_delivered,unit_price_eur,promised_delivery_date,actual_delivery_date,status,priority,shipping_mode,snapshot_date
ORD-2026-000001,2026-01-05,ITALY,Italy,Bellora Cosmetics,SKU-0008,Aureva Eau de Toilette 100ml Intense,Fragrance,96,96,40.70,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000002,2026-01-05,FRANCE,France,Aster Manufacturing,SKU-0049,Elunora Eau de Parfum 50ml Classic,Fragrance,672,672,23.43,2026-01-14,2026-01-12,Delivered,Normal,Road,2026-09-12
ORD-2026-000003,2026-01-05,ITALY,Italy,Cedar Fragrance Works,SKU-0081,Galenza Fragrance Gift Set 3pc Intense,Gift Set,144,144,34.96,2026-01-28,2026-01-28,Delivered,Normal,Road,2026-09-12
ORD-2026-000004,2026-01-05,IBERIA,Spain,Elara Beauty Labs,SKU-0095,Heloria Body Lotion 200ml Intense,Body Care,48,48,9.53,2026-01-19,2026-01-28,Delivered,Normal,Road,2026-09-12
ORD-2026-000005,2026-01-05,UK_IRELAND,Ireland,Cedar Fragrance Works,SKU-0051,Elunora Fragrance Gift Set 3pc Classic,Gift Set,612,612,32.50,2026-02-05,2026-02-05,Delivered,Normal,Road,2026-09-12
ORD-2026-000006,2026-01-05,DACH,Switzerland,Fenn Packaging & Assembly,SKU-0114,Jovira Face Serum 30ml Classic,Skin Care,72,72,18.68,2026-01-22,2026-02-09,Delivered,Normal,Road,2026-09-12
ORD-2026-000007,2026-01-05,IBERIA,Portugal,Aster Manufacturing,SKU-0013,Briselle Eau de Parfum 50ml Classic,Fragrance,336,336,24.50,2026-01-26,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000008,2026-01-05,UK_IRELAND,United Kingdom,Elara Beauty Labs,SKU-0053,Elunora Body Lotion 200ml Classic,Body Care,384,384,12.24,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000009,2026-01-05,ITALY,Italy,Bellora Cosmetics,SKU-0008,Aureva Eau de Toilette 100ml Intense,Fragrance,120,120,40.70,2026-01-19,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000010,2026-01-05,DACH,Germany,Aster Manufacturing,SKU-0109,Jovira Eau de Parfum 50ml Classic,Fragrance,132,132,24.75,2026-01-22,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000011,2026-01-05,NORTH_AMERICA,United States,Cedar Fragrance Works,SKU-0087,Heloria Fragrance Gift Set 3pc Classic,Gift Set,552,552,64.09,2026-02-16,2026-02-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000012,2026-01-05,ITALY,Italy,Cedar Fragrance Works,SKU-0039,Dorevia Fragrance Gift Set 3pc Classic,Gift Set,96,96,61.01,2026-02-02,2026-03-16,Delivered,Normal,Road,2026-09-12
ORD-2026-000013,2026-01-05,DACH,Germany,Elara Beauty Labs,SKU-0011,Aureva Body Lotion 200ml Intense,Body Care,252,252,4.65,2026-01-23,2026-01-21,Delivered,Normal,Road,2026-09-12
ORD-2026-000014,2026-01-05,IBERIA,Spain,Cedar Fragrance Works,SKU-0021,Briselle Fragrance Gift Set 3pc Intense,Gift Set,360,360,41.15,2026-01-27,2026-01-27,Delivered,Normal,Road,2026-09-12
ORD-2026-000015,2026-01-05,DACH,Germany,Elara Beauty Labs,SKU-0107,Isavelle Body Lotion 200ml Intense,Body Care,516,516,10.62,2026-01-19,2026-01-19,Delivered,Normal,Road,2026-09-12
